date,msl_m
1977-06-15,-0.058
1977-07-15,-0.061
1977-08-15,-0.043
1977-09-15,0.088
1977-10-15,-0.024
1977-11-15,-0.01
1977-12-15,-0.076
1978-01-15,-0.183
1978-02-15,-0.104
1978-03-15,-0.113
1978-04-15,-0.021
1978-05-15,0.021
1978-06-15,-0.067
1978-07-15,0.03
1978-08-15,0.021
1978-09-15,0.104
1978-10-15,-0.003
1978-11-15,0.006
1978-12-15,-0.204
1979-01-15,-0.162
1979-02-15,-0.113
1979-03-15,-0.11
1979-04-15,-0.073
1979-05-15,-0.052
1979-06-15,-0.006
1979-07-15,-0.012
1979-08-15,0.006
1979-09-15,0.061
1979-10-15,-0.019
1979-11-15,-0.113
1979-12-15,-0.189
1980-01-15,-0.121
1980-02-15,-0.2
1980-03-15,-0.208
1980-04-15,-0.033
1980-05-15,-0.02
1980-06-15,-0.087
1980-07-15,-0.08
1980-08-15,-0.017
1980-09-15,-0.025
1980-10-15,-0.082
1980-11-15,-0.185
1980-12-15,-0.243
1981-01-15,-0.285
1981-02-15,-0.237
1981-03-15,-0.17
1981-04-15,-0.204
1981-05-15,-0.015
1981-06-15,-0.05
1981-07-15,-0.038
1981-08-15,0.016
1981-09-15,0.023
1981-10-15,-0.068
1981-11-15,-0.084
1981-12-15,-0.204
1982-01-15,-0.262
1982-02-15,-0.136
1982-03-15,-0.12
1982-04-15,-0.207
1982-05-15,-0.051
1982-06-15,0.094
1982-07-15,-0.038
1982-08-15,-0.024
1982-09-15,0.026
1982-10-15,0.076
1982-11-15,-0.096
1982-12-15,-0.095
1983-01-15,-0.12
1983-02-15,-0.018
1983-03-15,0.034
1983-04-15,0.015
1983-05-15,-0.02
1983-06-15,0.027
1983-07-15,0.011
1983-08-15,0.059
1983-09-15,0.063
1983-10-15,0.109
1983-11-15,-0.003
1983-12-15,-0.1
1984-01-15,-0.113
1984-02-15,-0.1
1984-03-15,-0.061
1984-04-15,0.143
1984-05-15,-0.031
1984-06-15,0.021
1984-07-15,-0.026
1984-08-15,0.059
1984-09-15,0.033
1984-10-15,0.088
1984-11-15,-0.042
1984-12-15,-0.108
1985-01-15,-0.203
1985-02-15,-0.17
1985-03-15,-0.154
1985-04-15,-0.074
1985-05-15,-0.004
1985-06-15,-0.018
1985-07-15,0.003
1985-08-15,0.029
1985-09-15,0.009
1985-10-15,0.039
1985-11-15,0.126
1985-12-15,-0.115
1986-01-15,-0.241
1986-02-15,-0.06
1986-03-15,-0.167
1986-04-15,0.052
1986-05-15,0.02
1986-06-15,-0.037
1986-07-15,0.012
1986-08-15,0.038
1986-09-15,0.016
1986-10-15,0.036
1986-11-15,-0.04
1986-12-15,-0.071
1987-01-15,-0.091
1987-02-15,-0.136
1987-03-15,0.054
1987-04-15,0.071
1987-05-15,-0.017
1987-06-15,0.003
1987-07-15,0.014
1987-08-15,0.062
1987-09-15,0.072
1987-10-15,-0.05
1987-11-15,-0.09
1987-12-15,-0.073
1988-01-15,-0.184
1988-02-15,-0.13
1988-03-15,-0.168
1988-04-15,0.06
1988-05-15,0.03
1988-06-15,0.001
1988-07-15,-0.041
1988-08-15,0.003
1988-09-15,-0.007
1988-10-15,-0.041
1988-11-15,-0.108
1988-12-15,-0.181
1989-01-15,-0.157
1989-02-15,-0.17
1989-03-15,-0.085
1989-04-15,-0.098
1989-05-15,-0.016
1989-06-15,0.01
1989-07-15,0.039
1989-08-15,0.064
1989-09-15,0.103
1989-10-15,0.005
1989-11-15,-0.087
1989-12-15,-0.221
1990-01-15,-0.179
1990-02-15,-0.163
1990-03-15,-0.142
1990-04-15,-0.108
1990-05-15,0.009
1990-06-15,-0.015
1990-07-15,0.028
1990-08-15,0.083
1990-09-15,0.06
1990-10-15,0.011
1990-11-15,-0.077
1990-12-15,-0.115
1991-01-15,-0.052
1991-02-15,-0.129
1991-03-15,0.012
1991-04-15,-0.019
1991-05-15,0.006
1991-06-15,0.054
1991-07-15,0.067
1991-08-15,0.033
1991-09-15,0.051
1991-10-15,0.03
1991-11-15,-0.007
1991-12-15,-0.15
1992-01-15,-0.08
1992-02-15,-0.052
1992-03-15,-0.083
1992-04-15,-0.009
1992-05-15,0.045
1992-06-15,0.06
1992-07-15,0.064
1992-08-15,0.051
1992-09-15,0.054
1992-10-15,0.03
1992-11-15,0.027
1992-12-15,-0.065
1993-01-15,-0.033
1993-02-15,-0.06
1993-03-15,-0.035
1993-04-15,0.108
1993-05-15,0.068
1993-06-15,0.035
1993-07-15,0.066
1993-08-15,0.093
1993-09-15,0.089
1993-10-15,0.053
1993-11-15,-0.031
1993-12-15,-0.002
1994-01-15,-0.198
1994-02-15,-0.093
1994-03-15,-0.03
1994-04-15,-0.063
1994-05-15,0.033
1994-06-15,0.009
1994-07-15,0.011
1994-08-15,0.018
1994-09-15,0.066
1994-10-15,0.079
1994-11-15,-0.066
1994-12-15,-0.013
1995-01-15,-0.115
1995-02-15,-0.213
1995-03-15,-0.044
